,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту
122,45.341123,36.675162,Кавказ,ЮФО,МПП,30880.0,2017,Число людей,Сочинский,установлен,да,утратило значение (Украина),876000
123,55.393328,69.338667,Казанское,УФО,АПП,438183.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
124,55.607409,49.301007,Казань,ПФО,ВПП,973531.0,2017,Число людей,Волгоградский,установлен,да,не применимо,5080800
125,49.743903,46.84589,Кайсацкое,ЮФО,ЖДПП,1990.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,0
126,54.698798,20.475572,Калининград,СЗФО,МПП,58836.0,2017,Число людей,Калининградский,установлен,да,не применимо,3679200
127,54.882897,20.585738,Калининград (Храброво),СЗФО,ВПП,149868.0,2017,Число людей,Калининградский,установлен,да,не применимо,3854400
128,54.546743,36.366639,Калуга (Грабцево),ЦФО,ВПП,2593.0,2017,Число людей,Брянский,установлен,да,не применимо,1752000
129,67.137782,32.41278,Кандалакша,СЗФО,МПП,1985.0,2017,Число людей,Мурманский,установлен,да,не применимо,0
130,50.197449,127.641475,Кани-Курган,ДФО,АПП,0.0,2017,Число людей,Хабаровский,установлен,да,Китайская Народная Республика,0
131,53.752359,78.053926,Карасук,СФО,ЖДПП,24206.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,182500
132,46.545927,48.637239,Караузек,ЮФО,АПП,949673.0,2017,Число людей,Волгоградский,установлен,да,Республика Казахстан,0
133,53.052333,60.643455,"Карталы (Аксу, Бускуль)",УФО,ЖДПП,60784.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
134,54.0258076869129,61.7458551561277,Кварцитный,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,нет,Республика Казахстан,0
135,55.281972,86.119288,Кемерово,СФО,ВПП,131991.0,2017,Число людей,Новосибирский,установлен,да,не применимо,700800
136,45.35556,36.476485,Керчь,ЮФО,МПП,8172.0,2017,Число людей,Крымский,установлен,да,не применимо,0
137,50.0551,38.3698,Клименки,ЦФО,АПП,0.0,2017,Число людей,Белгородский,установлен,нет,не применимо (ЛНР),0
138,50.813564,35.415016,Колотиловка,ЦФО,АПП,135180.0,2017,Число людей,Белгородский,установлен,да,Украина,0
139,51.576089,60.615823,Комсомольский,ПФО,АПП,16716.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
140,49.6167,127.9833,Константиновка,ДФО,СПП,0.0,2017,Число людей,Хабаровский,установлен,нет,Китайская Народная Республика,0
141,46.620378,142.768422,Корсаков,ДФО,МПП,55357.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
142,43.8262,146.7486,Крабозаводский,ДФО,МПП,0.0,2017,Число людей,Владивостокский,установлен,нет,не применимо,0
143,42.768502,130.470716,Краскино,ДФО,АПП,354719.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика,0
144,45.033847,39.139303,Краснодар (Пашковский),ЮФО,ВПП,707996.0,2017,Число людей,Сочинский,установлен,да,не применимо,4555200
145,56.180887,92.482809,Красноярск (Емельяново),СФО,ВПП,501421.0,2017,Число людей,Новосибирский,установлен,да,не применимо,7095600
146,51.647524,34.137715,Крупец,ЦФО,АПП,291521.0,2017,Число людей,Брянский,установлен,да,Украина,598600
147,57.895767,27.817193,Крупп,СЗФО,АПП,6195.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика,0
148,54.3275,21.5533,Крылово,СЗФО,АПП,0.0,2017,Число людей,Калининградский,установлен,нет,Республика Польша,0
149,55.608359,36.630973,Кубинка,ЦФО,ВПП,2770.0,2017,Число людей,Центральный аппарат,установлен,да,не применимо,0
150,47.829234,39.121442,Куйбышево (Дьяково),ЮФО,АПП,0.0,2017,Число людей,Ростовский,установлен,нет,не применимо (ДНР),0
151,47.857207,38.858523,Куйбышево (Мариновка),ЮФО,АПП,915508.0,2017,Число людей,Ростовский,установлен,да,не применимо (ДНР),693500
152,52.571772,78.935906,Кулунда,СФО,ЖДПП,11838.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,350400
153,52.532284,78.630049,Кулунда (Шарбакты),СФО,АПП,670501.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,700800
154,57.832371,27.595687,Куничина Гора,СЗФО,АПП,436150.0,2017,Число людей,Псковский,установлен,да,Эстонская Республика,730000
155,55.462743,65.411209,Курган,УФО,ВПП,0.0,2017,Число людей,Уральский,установлен,нет,не применимо,0
156,51.748961,36.28221,Курск,ЦФО,ВПП,196.0,2017,Число людей,Брянский,установлен,да,не применимо,0
157,51.6761790217312,94.4050161608327,Кызыл,СФО,ВПП,0.0,2017,Число людей,Новосибирский,установлен,нет,не применимо,0
158,50.325935,106.487149,Кяхта,ДФО,АПП,721181.0,2017,Число людей,Читинский,установлен,да,Монголия,1825000
159,65.587303,189.001955,Лаврентия,ДФО,МПП,0.0,2017,Число людей,Владивостокский,установлен,нет,не применимо,0
160,60.090118,30.19562,Левашово,СЗФО,ВПП,0.0,2017,Число людей,Санкт-Петербургский,установлен,нет,не применимо,0
161,45.45465120376154,133.3778381347585,Лесозаводск,ДФО,СПП,0.0,2017,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика,0
162,52.698093,39.524867,Липецк,ЦФО,ВПП,265.0,2017,Число людей,Белгородский,установлен,да,не применимо,438000
163,49.999964,37.951784,Логачевка,ЦФО,АПП,207717.0,2017,Число людей,Белгородский,установлен,да,Украина,0
164,51.287835,81.103774,Локоть,СФО,ЖДПП,219977.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,350400
165,51.675,34.2175,Локоть,ЦФО,ЖДПП,0.0,2017,Число людей,Брянский,установлен,нет,Украина,0
166,52.295003,32.647313,Ломаковка,ЦФО,АПП,42357.0,2017,Число людей,Брянский,установлен,да,Украина,0
167,68.477378,28.477149,Лотта,СЗФО,АПП,77737.0,2017,Число людей,Мурманский,установлен,да,Финляндская Республика,182500
168,57.132236,27.774503,Лудонка,СЗФО,АПП,114223.0,2017,Число людей,Псковский,установлен,да,Латвийская Республика,0
169,64.545064,29.994016,Люття,СЗФО,АПП,382020.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
170,64.5496,30.665,Люття,СЗФО,ЖДПП,9354.0,2017,Число людей,Санкт-Петербургский,установлен,да,Финляндская Республика,0
171,59.564593,150.727889,Магадан,ДФО,МПП,1334.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
172,59.914596,150.731891,Магадан (Сокол),ДФО,ВПП,298.0,2017,Число людей,Владивостокский,установлен,да,не применимо,0
173,43.3198770927679,45.012048912086,Магас,СКФО,ВПП,0.0,2017,Число людей,Северо-Кавказский,установлен,нет,не применимо,0
174,53.389447,58.760733,Магнитогорск,УФО,ВПП,23587.0,2017,Число людей,Уральский,установлен,да,не применимо,876000
175,55.2213630695047,67.2304994999999,Макушино,УФО,ЖДПП,0.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
176,51.595588,79.437002,Малиновое Озеро,СФО,АПП,19113.0,2017,Число людей,Новосибирский,установлен,да,Республика Казахстан,87600
177,54.447689,19.898678,Мамоново,СЗФО,ЖДПП,8143.0,2017,Число людей,Калининградский,установлен,да,Республика Польша,0
178,54.424393,20.074312,Мамоново (Гжехотки),СЗФО,АПП,1221208.0,2017,Число людей,Калининградский,установлен,да,Республика Польша,0
179,54.439183,19.901304,Мамоново (Гроново),СЗФО,АПП,1060824.0,2017,Число людей,Калининградский,установлен,да,Республика Польша,0
180,52.319569,61.001741,Мариинский,УФО,АПП,139069.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
181,45.550477,133.321171,Марково,ДФО,АПП,36439.0,2017,Число людей,Владивостокский,установлен,нет,Китайская Народная Республика,0
182,47.2630000002682,38.8836000002921,Марцево,ЮФО,ЖДПП,0.0,2017,Число людей,Ростовский,установлен,да,не применимо (ДНР),0
183,47.697363,38.683999,Матвеев Курган,ЮФО,АПП,1657018.0,2017,Число людей,Ростовский,установлен,да,не применимо (ДНР),0
184,42.681192,130.61768,Махалино,ДФО,ЖДПП,4824.0,2017,Число людей,Владивостокский,установлен,да,Китайская Народная Республика,0
185,42.987707,47.508277,Махачкала,СКФО,МПП,11560.0,2017,Число людей,Северо-Кавказский,установлен,да,не применимо,0
186,42.820784,47.655825,Махачкала (Уйташ),СКФО,ВПП,56836.0,2017,Число людей,Северо-Кавказский,установлен,да,не применимо,525600
187,51.853502,50.896097,Маштаково,ПФО,АПП,1990221.0,2017,Число людей,Уральский,установлен,да,Республика Казахстан,0
