,latitude,longitude,Наименование пункта пропуска,Федеральный округ,Вид,Количество,Год,Категория,Филиал,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство,Количество по паспорту,Количество (Факт/Паспорт)
179,54.006458,61.625926,Бугристое,УФО,АПП,254429.0,2019,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.32
180,56.356309,28.197336,Бурачки,СЗФО,АПП,138230.0,2019,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500.0,1.26
181,42.768431,44.631185,Верхний Ларс,СКФО,АПП,227581.0,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,3.67
182,62.168784,30.635873,Вяртсиля,СЗФО,АПП,94991.0,2019,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800.0,2.17
184,42.056396,48.306587,Дербент,СКФО,ЖДПП,8059.0,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.38
186,64.545064,29.994016,Люття,СЗФО,АПП,36400.0,2019,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900.0,1.66
189,42.669885,44.025982,Нижний Зарамаг,СКФО,АПП,41802.0,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Южная Осетия,36500.0,1.15
192,49.643629,89.44195,Ташанта,СФО,АПП,8089.0,2019,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.35
196,54.645721,22.736633,Чернышевское,СЗФО,АПП,124743.0,2019,Грузовые транспортные средства,Калининградский,установлен,да,Литовская Республика,109500.0,1.14
198,41.640607,48.40786,Яраг-Казмаляр,СКФО,АПП,125499.0,2019,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,109500.0,1.15
199,43.397314,40.002072,Адлер,ЮФО,АПП,79709.0,2020,Грузовые транспортные средства,Сочинский,установлен,да,Республика Абхазия,54750.0,1.46
201,54.006458,61.625926,Бугристое,УФО,АПП,288987.0,2020,Грузовые транспортные средства,Уральский,установлен,да,Республика Казахстан,109500.0,2.64
202,56.356309,28.197336,Бурачки,СЗФО,АПП,130798.0,2020,Грузовые транспортные средства,Псковский,установлен,да,Латвийская Республика,109500.0,1.19
203,42.768431,44.631185,Верхний Ларс,СКФО,АПП,281299.0,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Республика Грузия,62050.0,4.53
204,62.168784,30.635873,Вяртсиля,СЗФО,АПП,101772.0,2020,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,43800.0,2.32
206,42.056396,48.306587,Дербент,СКФО,ЖДПП,5868.0,2020,Грузовые транспортные средства,Северо-Кавказский,установлен,да,Азербайджанская Республика,5840.0,1.0
208,64.545064,29.994016,Люття,СЗФО,АПП,32052.0,2020,Грузовые транспортные средства,Санкт-Петербургский,установлен,да,Финляндская Республика,21900.0,1.46
212,49.643629,89.44195,Ташанта,СФО,АПП,7238.0,2020,Грузовые транспортные средства,Новосибирский,установлен,да,Монголия,5980.0,1.21
