,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Сопредельное государство
2391,Ивангород,Санкт-Петербургский,59.360621,28.200402,СЗФО,ППП,0,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2394,Илек,Уральский,51.492998,53.382564,ПФО,АПП,181236,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2395,Илек-Пеньковка,Белгородский,50.751077,35.539322,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2396,"Илецк-1 (Жайсан, Шынгырлау)",Уральский,51.1568999998271,54.9952999986708,ПФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2397,Инари,Санкт-Петербургский,63.304965,31.004307,СЗФО,АПП,165,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2399,Иртышское (Валиханово),Новосибирский,53.9109000004827,74.9037999995053,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2400,Исилькуль,Новосибирский,54.9219999983907,71.0168999992311,СФО,АПП,220174,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2401,Исилькуль,Новосибирский,54.909388,71.263429,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2402,Кавказ,Сочинский,45.341123,36.675162,ЮФО,МПП,0,2017,Легковые транспортные средства,установлен,да,утратило значение (Украина)
2403,Казанское,Уральский,55.393328,69.338667,УФО,АПП,103919,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2405,Кайсацкое,Волгоградский,49.743903,46.84589,ЮФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2410,Кани-Курган,Хабаровский,50.197449,127.641475,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2411,Карасук,Новосибирский,53.752359,78.053926,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2412,Караузек,Волгоградский,46.545927,48.637239,ЮФО,АПП,195459,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2413,"Карталы (Аксу, Бускуль)",Уральский,53.052333,60.643455,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2414,Кварцитный,Уральский,54.0258076869129,61.7458551561277,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Республика Казахстан
2418,Колотиловка,Белгородский,50.813564,35.415016,ЦФО,АПП,50483,2017,Легковые транспортные средства,установлен,да,Украина
2419,Комсомольский,Уральский,51.576089,60.615823,ПФО,АПП,4954,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2420,Константиновка,Хабаровский,49.6167,127.9833,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2423,Краскино,Владивостокский,42.768502,130.470716,ДФО,АПП,30,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2426,Крупец,Брянский,51.647524,34.137715,ЦФО,АПП,69330,2017,Легковые транспортные средства,установлен,да,Украина
2427,Крупп,Псковский,57.895767,27.817193,СЗФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2428,Крылово,Калининградский,54.3275,21.5533,СЗФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Республика Польша
2432,Кулунда,Новосибирский,52.571772,78.935906,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2433,Кулунда (Шарбакты),Новосибирский,52.532284,78.630049,СФО,АПП,87134,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2434,Куничина Гора,Псковский,57.832371,27.595687,СЗФО,АПП,97624,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2438,Кяхта,Читинский,50.325935,106.487149,ДФО,АПП,199979,2017,Легковые транспортные средства,установлен,да,Монголия
2441,Лесозаводск,Владивостокский,45.45465120376154,133.3778381347585,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2443,Логачевка,Белгородский,49.999964,37.951784,ЦФО,АПП,55058,2017,Легковые транспортные средства,установлен,да,Украина
2444,Локоть,Новосибирский,51.287835,81.103774,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2445,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,нет,Украина
2446,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,11488,2017,Легковые транспортные средства,установлен,да,Украина
2447,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,30712,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2448,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,81087,2017,Легковые транспортные средства,установлен,да,Латвийская Республика
2449,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,211195,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2450,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Финляндская Республика
2455,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2456,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,4966,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2457,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Польша
2458,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,540081,2017,Легковые транспортные средства,установлен,да,Республика Польша
2459,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,547188,2017,Легковые транспортные средства,установлен,да,Республика Польша
2460,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,43918,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2461,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2464,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2467,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,395583,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2469,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,122931,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2471,Монды,Читинский,51.636004,100.860313,ДФО,АПП,12822,2017,Легковые транспортные средства,установлен,да,Монголия
2472,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,83087,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2477,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Монголия
2482,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Монголия
2485,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2486,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,19457,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2487,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Украина
2488,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2489,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,806926,2017,Легковые транспортные средства,установлен,да,Украина
2492,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2493,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2494,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,380499,2017,Легковые транспортные средства,установлен,да,Республика Южная Осетия
2496,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,37342,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2502,Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Азербайджанская Республика
2504,Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,83633,2017,Легковые транспортные средства,установлен,да,Украина
2506,Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,96750,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2507,Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,242254,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2508,Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2509,Олочи,Читинский,51.336732,119.873112,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2511,Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,127201,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2517,Орск,Уральский,51.084344,58.475364,ПФО,АПП,108732,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2519,Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2522,Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,89984,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2523,Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,19946,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2525,Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2532,Петухово,Уральский,55.090975,68.242499,УФО,АПП,169137,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2533,Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
2534,Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Эстонская Республика
2535,Погар,Брянский,52.369862,33.243985,ЦФО,АПП,23528,2017,Легковые транспортные средства,установлен,да,Украина
2536,Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,24799,2017,Легковые транспортные средства,установлен,да,Литовская Республика
2537,Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,52,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2538,Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2539,Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,нет,Китайская Народная Республика
2540,Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2541,Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,0,2017,Легковые транспортные средства,установлен,да,Китайская Народная Республика
2542,Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,5548,2017,Легковые транспортные средства,установлен,да,Республика Казахстан
