,Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту
165,Локоть,Брянский,51.675,34.2175,ЦФО,ЖДПП,0,2017,Число людей,установлен,нет,0
166,Ломаковка,Брянский,52.295003,32.647313,ЦФО,АПП,42357,2017,Число людей,установлен,да,0
167,Лотта,Мурманский,68.477378,28.477149,СЗФО,АПП,77737,2017,Число людей,установлен,да,182500
168,Лудонка,Псковский,57.132236,27.774503,СЗФО,АПП,114223,2017,Число людей,установлен,да,0
169,Люття,Санкт-Петербургский,64.545064,29.994016,СЗФО,АПП,382020,2017,Число людей,установлен,да,0
170,Люття,Санкт-Петербургский,64.5496,30.665,СЗФО,ЖДПП,9354,2017,Число людей,установлен,да,0
171,Магадан,Владивостокский,59.564593,150.727889,ДФО,МПП,1334,2017,Число людей,установлен,да,0
172,Магадан (Сокол),Владивостокский,59.914596,150.731891,ДФО,ВПП,298,2017,Число людей,установлен,да,0
173,Магас,Северо-Кавказский,43.3198770927679,45.012048912086,СКФО,ВПП,0,2017,Число людей,установлен,нет,0
174,Магнитогорск,Уральский,53.389447,58.760733,УФО,ВПП,23587,2017,Число людей,установлен,да,876000
175,Макушино,Уральский,55.2213630695047,67.2304994999999,УФО,ЖДПП,0,2017,Число людей,установлен,да,0
176,Малиновое Озеро,Новосибирский,51.595588,79.437002,СФО,АПП,19113,2017,Число людей,установлен,да,87600
177,Мамоново,Калининградский,54.447689,19.898678,СЗФО,ЖДПП,8143,2017,Число людей,установлен,да,0
178,Мамоново (Гжехотки),Калининградский,54.424393,20.074312,СЗФО,АПП,1221208,2017,Число людей,установлен,да,0
179,Мамоново (Гроново),Калининградский,54.439183,19.901304,СЗФО,АПП,1060824,2017,Число людей,установлен,да,0
180,Мариинский,Уральский,52.319569,61.001741,УФО,АПП,139069,2017,Число людей,установлен,да,0
181,Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,36439,2017,Число людей,установлен,нет,0
182,Марцево,Ростовский,47.2630000002682,38.8836000002921,ЮФО,ЖДПП,0,2017,Число людей,установлен,да,0
183,Матвеев Курган,Ростовский,47.697363,38.683999,ЮФО,АПП,1657018,2017,Число людей,установлен,да,0
184,Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,4824,2017,Число людей,установлен,да,0
185,Махачкала,Северо-Кавказский,42.987707,47.508277,СКФО,МПП,11560,2017,Число людей,установлен,да,0
186,Махачкала (Уйташ),Северо-Кавказский,42.820784,47.655825,СКФО,ВПП,56836,2017,Число людей,установлен,да,525600
187,Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,1990221,2017,Число людей,установлен,да,0
188,Минеральные Воды,Ростовский,44.217512,43.087411,СКФО,ВПП,387976,2017,Число людей,установлен,да,2102400
189,Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,474743,2017,Число людей,установлен,да,700800
190,Можаевка,Ростовский,48.759866,39.737029,ЮФО,АПП,0,2017,Число людей,установлен,нет,0
191,Монды,Читинский,51.636004,100.860313,ДФО,АПП,41729,2017,Число людей,установлен,да,0
192,Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,229455,2017,Число людей,установлен,да,73000
193,Москальво,Владивостокский,53.547806,142.516746,ДФО,МПП,60,2017,Число людей,установлен,да,0
194,Москва (Внуково),Центральный аппарат,55.603563,37.282957,ЦФО,ВПП,6765194,2017,Число людей,установлен,да,24002400
195,Москва (Домодедово),Центральный аппарат,55.413263,37.899571,ЦФО,ВПП,13686484,2017,Число людей,установлен,да,23476800
196,Москва (Шереметьево),Центральный аппарат,55.966194,37.416206,ЦФО,ВПП,18684081,2017,Число людей,установлен,да,84779280
197,Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2017,Число людей,установлен,нет,0
198,Мурманск,Мурманский,68.785334,32.757483,СЗФО,ВПП,29744,2017,Число людей,установлен,да,1401600
199,Мурманск,Мурманский,68.97922,33.068085,СЗФО,МПП,59861,2017,Число людей,установлен,да,1401600
200,Нальчик,Северо-Кавказский,43.50836,43.635906,СКФО,ВПП,28944,2017,Число людей,установлен,да,0
201,Нарьян-Мар,Мурманский,67.647187,53.002155,СЗФО,МПП,0,2017,Число людей,установлен,нет,0
202,Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,67158,2017,Число людей,установлен,да,0
203,Находка,Владивостокский,42.808377,132.882515,ДФО,МПП,75614,2017,Число людей,установлен,да,0
204,Невельск,Владивостокский,46.676748,141.85372,ДФО,МПП,26167,2017,Число людей,установлен,да,0
205,Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,9446,2017,Число людей,установлен,да,87600
206,Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,67070,2017,Число людей,установлен,да,0
207,Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0
208,Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,498170,2017,Число людей,установлен,да,0
209,Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,4049222,2017,Число людей,установлен,да,4064640
210,Нижневартовск,Уральский,60.9506,76.493705,УФО,ВПП,60484,2017,Число людей,установлен,да,1314000
211,Нижнекамск (Бегишево),Волгоградский,55.564286,52.101209,ПФО,ВПП,75369,2017,Число людей,установлен,да,0
212,Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2017,Число людей,установлен,да,0
213,Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,47643,2017,Число людей,установлен,да,188250
214,Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,1178388,2017,Число людей,установлен,да,0
215,Нижний Новгород (Стригино),Волгоградский,56.218867,43.790918,ПФО,ВПП,263376,2017,Число людей,установлен,да,6482400
216,Николаевка,Уральский,53.003526,62.129645,УФО,АПП,124949,2017,Число людей,установлен,да,0
217,Николаевск-на-Амуре,Хабаровский,53.132536,140.721297,ДФО,МПП,278,2017,Число людей,установлен,да,0
218,Новобелая,Белгородский,49.7947,39.245439,ЦФО,АПП,63,2017,Число людей,установлен,да,0
