Наименование пункта пропуска,Филиал,latitude,longitude,Федеральный округ,Вид,Количество,Год,Категория,Установлен / закрыт,Функционирует/не функционирует,Количество по паспорту,Количество (Факт/Паспорт),Сопредельное государство
Мариинский,Уральский,52.319569,61.001741,УФО,АПП,139069,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Марково,Владивостокский,45.550477,133.321171,ДФО,АПП,36439,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Махалино,Владивостокский,42.681192,130.61768,ДФО,ЖДПП,4824,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Маштаково,Уральский,51.853502,50.896097,ПФО,АПП,1990221,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Михайловка,Новосибирский,50.807859,81.965854,СФО,АПП,474743,2017,Число людей,установлен,да,700800,0.68,Республика Казахстан
Монды,Читинский,51.636004,100.860313,ДФО,АПП,41729,2017,Число людей,установлен,да,0,0.0,Монголия
Морское,Калининградский,55.278507,20.963083,СЗФО,АПП,229455,2017,Число людей,установлен,да,73000,3.14,Литовская Республика
Мугур-Аксы,Новосибирский,50.35,90.5,СФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Монголия
Наушки,Читинский,50.388174,106.100215,ДФО,ЖДПП,67158,2017,Число людей,установлен,да,0,0.0,Монголия
Неверовская,Новосибирский,50.982706,81.519878,СФО,ЖДПП,9446,2017,Число людей,установлен,да,87600,0.11,Республика Казахстан
Невольное,Новосибирский,53.7267000004649,73.8075000010431,СФО,АПП,67070,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Нежеголь,Белгородский,50.372308,36.850314,ЦФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Украина
Нестеров,Калининградский,54.636192,22.73258,СЗФО,ЖДПП,498170,2017,Число людей,установлен,да,0,0.0,Литовская Республика
Нехотеевка,Белгородский,50.338847,36.28717,ЦФО,АПП,4049222,2017,Число людей,установлен,да,4064640,1.0,Украина
Нижнеленинское,Хабаровский,47.975056,132.671355,ДФО,ЖДПП,0,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Нижнеленинское,Хабаровский,47.961278,132.669774,ДФО,СПП,47643,2017,Число людей,установлен,да,188250,0.25,Китайская Народная Республика
Нижний Зарамаг,Северо-Кавказский,42.669885,44.025982,СКФО,АПП,1178388,2017,Число людей,установлен,да,0,0.0,Республика Южная Осетия
Николаевка,Уральский,53.003526,62.129645,УФО,АПП,124949,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Ново-Филя,Северо-Кавказский,41.708056,48.473279,СКФО,АПП,475785,2017,Число людей,установлен,да,0,0.0,Азербайджанская Республика
Новые Юрковичи,Брянский,52.116365,31.811135,ЦФО,АПП,647498,2017,Число людей,установлен,да,1091350,0.59,Украина
Одесское,Новосибирский,54.159304,72.792108,СФО,АПП,453645,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Озинки,Волгоградский,51.216321,49.880509,ПФО,АПП,1394660,2017,Число людей,установлен,да,1051200,1.33,Республика Казахстан
Озинки,Волгоградский,51.194203,49.73407,ПФО,ЖДПП,115882,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Олочи,Читинский,51.336732,119.873112,ДФО,АПП,2952,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Ольховка,Новосибирский,53.796579,75.051943,СФО,АПП,621288,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Орск,Уральский,51.084344,58.475364,ПФО,АПП,433818,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Орск,Уральский,51.086122,58.464716,ПФО,ЖДПП,18579,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Павловка,Новосибирский,53.401993,77.709242,СФО,АПП,504182,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Павловка (Славгород),Новосибирский,52.924229,78.268375,СФО,АПП,80039,2017,Число людей,установлен,да,175200,0.46,Республика Казахстан
Пашково,Хабаровский,48.884618,130.656092,ДФО,СПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Петухово,Уральский,55.090975,68.242499,УФО,АПП,816415,2017,Число людей,установлен,да,2007500,0.41,Республика Казахстан
Петухово,Уральский,55.070614,67.887333,УФО,ЖДПП,464675,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Печоры-Псковские,Псковский,57.8357999995351,27.625300001353,СЗФО,ЖДПП,4442,2017,Число людей,установлен,да,0,0.0,Эстонская Республика
Погар,Брянский,52.369862,33.243985,ЦФО,АПП,201487,2017,Число людей,установлен,да,708100,0.28,Украина
Пограничный,Калининградский,55.059774,22.590262,СЗФО,АПП,37062,2017,Число людей,установлен,да,0,0.0,Литовская Республика
Пограничный,Владивостокский,44.39917,131.259668,ДФО,АПП,893259,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Пограничный,Владивостокский,44.40663,131.37327,ДФО,ЖДПП,172766,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Покровка,Читинский,53.343378,121.535043,ДФО,АПП,0,2017,Число людей,установлен,нет,0,0.0,Китайская Народная Республика
Покровка,Хабаровский,46.723319,134.02228,ДФО,СПП,27067,2017,Число людей,установлен,да,240960,0.11,Китайская Народная Республика
Полтавка,Владивостокский,44.018064,131.252823,ДФО,АПП,260288,2017,Число людей,установлен,да,0,0.0,Китайская Народная Республика
Полынный,Волгоградский,48.953911,46.789453,ЮФО,АПП,20218,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Посинь,Псковский,56.341761,28.248432,СЗФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Латвийская Республика
Поярково,Хабаровский,49.614111,128.680416,ДФО,СПП,3513,2017,Число людей,установлен,да,160640,0.02,Китайская Народная Республика
Псков,Псковский,57.814291,28.326674,СЗФО,РПП,0,2017,Число людей,установлен,нет,0,0.0,Эстонская Республика
Пыталово,Псковский,57.0645000003278,27.9111000001431,СЗФО,ЖДПП,7775,2017,Число людей,установлен,да,0,0.0,Латвийская Республика
Рыбачий,Калининградский,55.1583999991417,20.8500000014901,СЗФО,РПП,6,2017,Число людей,установлен,да,0,0.0,Литовская Республика
Сагарчин,Уральский,50.857938,56.142094,ПФО,АПП,1215430,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Салла,Мурманский,66.944902,29.038847,СЗФО,АПП,133989,2017,Число людей,установлен,да,219000,0.61,Финляндская Республика
Санкт-Петербург-Финляндский,Санкт-Петербургский,59.955817,30.356343,СЗФО,ЖДПП,485363,2017,Число людей,установлен,да,1065800,0.46,Финляндская Республика
Светлый,Уральский,50.710306,61.02061,ПФО,АПП,30636,2017,Число людей,установлен,да,0,0.0,Республика Казахстан
Светогорск,Санкт-Петербургский,61.123856,28.841682,СЗФО,АПП,1558466,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Светогорск,Санкт-Петербургский,61.118075,28.845818,СЗФО,ЖДПП,5296,2017,Число людей,установлен,да,0,0.0,Финляндская Республика
Себеж,Псковский,56.3053999990225,28.4697999991477,СЗФО,ЖДПП,172886,2017,Число людей,установлен,да,0,0.0,Латвийская Республика
Скангали,Псковский,56.8999,27.743,СЗФО,ЖДПП,0,2017,Число людей,установлен,нет,0,0.0,Латвийская Республика
Сковородино,Хабаровский,53.441899,123.967124,ДФО,СПП,84,2017,Число людей,установлен,да,175200,0.0,Китайская Народная Республика
Советск,Калининградский,55.082342,21.903888,СЗФО,АПП,518543,2017,Число людей,установлен,да,0,0.0,Литовская Республика
Советск,Калининградский,55.082342,21.879756,СЗФО,ЖДПП,1510,2017,Число людей,установлен,да,0,0.0,Литовская Республика
"Советск (Русне, Юрбаркас)",Калининградский,55.084813,21.89674,СЗФО,РПП,0,2017,Число людей,установлен,нет,0,0.0,Литовская Республика
Соловьевск,Читинский,49.886726,115.713356,ДФО,АПП,10063,2017,Число людей,установлен,да,0,0.0,Монголия
Соловьевск,Читинский,49.8947,115.7575,ДФО,ЖДПП,868,2017,Число людей,установлен,да,0,0.0,Монголия
